Date,Close,High,Low,Open,Volume
12-02-2024,3675.600098,3734.949951,3644.300049,3719.199951,199148
13-02-2024,3703.199951,3728,3660.899902,3685.050049,294135
14-02-2024,3722.399902,3739,3691.050049,3700,257694
15-02-2024,3678.600098,3729.949951,3671.350098,3722.399902,507420
16-02-2024,3693.300049,3724.649902,3665.100098,3698.600098,726598
19-02-2024,3707.25,3722,3673.300049,3673.300049,226669
20-02-2024,3756.199951,3784,3691.399902,3701,316518
21-02-2024,3835.75,3889,3752,3752,592509
22-02-2024,3851.449951,3869,3801.850098,3860,237411
23-02-2024,3840.550049,3872,3828.649902,3860,226731
26-02-2024,3850.350098,3859,3796.25,3840.550049,346646
27-02-2024,3852.199951,3885,3818.050049,3859,256237
28-02-2024,3850,3948.300049,3838.100098,3856.399902,505405
29-02-2024,3918.899902,3940,3797.050049,3818.399902,499782
01-03-2024,3884.149902,3936.75,3867,3925,261674
04-03-2024,3846.350098,3878.649902,3831,3870.949951,153055
05-03-2024,3834.5,3884.350098,3811.300049,3830,185829
06-03-2024,3888.649902,3895,3825.149902,3834.5,308886
07-03-2024,3925.949951,3942.649902,3877.199951,3888.649902,330459
11-03-2024,3979.649902,4025,3936.050049,3948.850098,689781
12-03-2024,4031.699951,4042,3900,3999,499999
13-03-2024,3967.800049,4056,3932.050049,4055,521699
14-03-2024,4019.25,4040,3890,3966.949951,355226
15-03-2024,3932.100098,4035,3904,4019.449951,348203
18-03-2024,4010.550049,4019,3918.699951,3932.100098,230448
19-03-2024,4014.100098,4046.050049,3983.050049,4008,451330
20-03-2024,4056.350098,4068,4009.25,4015,346426
21-03-2024,4163.100098,4238,4091.5,4117,1130832
22-03-2024,4297.600098,4330.5,4151.149902,4159.799805,921652
26-03-2024,4486.200195,4509.450195,4297.25,4315.75,1838678
27-03-2024,4420.549805,4533,4387.049805,4480.5,814043
28-03-2024,4525.600098,4560,4397.049805,4424.950195,892567
01-04-2024,4483.299805,4592,4456.299805,4570,410983
02-04-2024,4411.850098,4563,4400.049805,4503,442907
03-04-2024,4460.899902,4494.450195,4415,4455,257333
04-04-2024,4645.049805,4715,4540,4562,1564457
05-04-2024,4619.25,4685,4557,4645,418022
08-04-2024,4672.799805,4748,4640,4648.149902,461322
09-04-2024,4716.149902,4747.799805,4622,4671.950195,285672
10-04-2024,4754,4831.850098,4711,4736.600098,728446
12-04-2024,4765.049805,4806.75,4725,4753.899902,676863
15-04-2024,4686.799805,4736.549805,4620.600098,4680,358707
16-04-2024,4644.299805,4689.299805,4611.350098,4650,245231
18-04-2024,4627.100098,4694.299805,4605,4644.299805,417772
19-04-2024,4696,4836.700195,4651.100098,4766.950195,778084
22-04-2024,4758,4815.950195,4692.049805,4743,257706
23-04-2024,4800.549805,4890,4773,4804.5,458148
24-04-2024,4797.549805,4835.700195,4778,4820,199877
25-04-2024,4657.100098,4817.649902,4615.149902,4801,462020
26-04-2024,4553.149902,4719.950195,4531.5,4657.049805,254510
29-04-2024,4483.799805,4562.450195,4450,4560.5,385596
30-04-2024,4603.799805,4650,4455.149902,4455.149902,637696
02-05-2024,4605.049805,4642.450195,4578,4609.950195,256067
03-05-2024,4612.350098,4627,4545.049805,4626.950195,436785
06-05-2024,4600.600098,4739.899902,4576,4620,643041
07-05-2024,4660.450195,4698,4581,4619.950195,431030
08-05-2024,4806.75,4863.799805,4670,4674.799805,829723
09-05-2024,4798.649902,4895.600098,4730,4806.75,618014
10-05-2024,4796.799805,4852,4735.850098,4798.649902,290601
13-05-2024,4693.700195,4809,4667,4799.950195,190782
14-05-2024,4597.049805,4755,4550.350098,4739,376741
15-05-2024,4652.450195,4680,4597.100098,4614.950195,298259
16-05-2024,4671.25,4699,4660.049805,4674.299805,519285
17-05-2024,4682.899902,4710,4665.049805,4680,203113
21-05-2024,4705.899902,4737.450195,4605.450195,4670,179171
22-05-2024,4798.799805,4924.200195,4737.149902,4763.149902,716981
23-05-2024,4793.549805,4812,4755.799805,4794.5,151025
24-05-2024,4684.5,4841.399902,4674.100098,4797.899902,307316
27-05-2024,4537.350098,4669,4508,4651.549805,392853
28-05-2024,4474.450195,4588.850098,4440.200195,4551.899902,224693
29-05-2024,4476.850098,4564.850098,4435.100098,4474,234524
30-05-2024,4444.950195,4497.25,4410,4475.899902,141706
31-05-2024,4302.149902,4450,4250.399902,4440,866438
03-06-2024,4349.350098,4400,4301,4392.950195,279797
04-06-2024,4548.75,4590,4355.649902,4399,1093378
05-06-2024,4862.25,4900,4562.200195,4590,1495770
06-06-2024,4687.049805,4861.950195,4675.25,4861.950195,664303
07-06-2024,4747.25,4806.350098,4690.75,4700,352969
10-06-2024,4778.399902,4812,4688,4769.049805,276907
11-06-2024,4701.450195,4829.899902,4676,4800,266806
12-06-2024,4666.75,4740,4645,4710.049805,555091
13-06-2024,4656.649902,4739.950195,4640.049805,4697.25,238268
14-06-2024,4739.950195,4759.950195,4671.049805,4692,258982
18-06-2024,5039.299805,5080,4734.799805,4739.950195,2054168
19-06-2024,4933.899902,5219,4901.350098,5079,1438750
20-06-2024,4861.700195,5022.5,4832.200195,4947.450195,577843
21-06-2024,4804.850098,5082.950195,4763,4928,726519
24-06-2024,4833.700195,4875,4765.850098,4792,356824
25-06-2024,4783.350098,4905,4755,4850,376890
26-06-2024,4801,4823.950195,4690,4775,546313
27-06-2024,4900.100098,4960,4738,4819.950195,503719
28-06-2024,4716.75,4921.950195,4680,4900,685009
01-07-2024,4735.899902,4754.450195,4612.5,4725.100098,642169
02-07-2024,4773.850098,4825.25,4719.549805,4759.100098,360009
03-07-2024,4792.899902,4810.899902,4700.700195,4760,799111
04-07-2024,4768.100098,4825,4725,4785.100098,317759
05-07-2024,4853.100098,4871,4742.799805,4768.850098,359691
08-07-2024,4851.549805,4935.200195,4820,4860,706765
09-07-2024,4806.350098,4893.950195,4780,4853.100098,421547
10-07-2024,4834.450195,4894.350098,4731.100098,4825,284146
11-07-2024,4898.899902,4969,4832.25,4853.899902,568246
12-07-2024,4943.649902,5016.950195,4909,4939.899902,598090
15-07-2024,4988.850098,5164,4943.649902,5126.450195,1405587
16-07-2024,5039.850098,5104,4979,5000,1062769
18-07-2024,5083.450195,5096.950195,5028,5039.850098,837644
19-07-2024,5010.700195,5078.5,4955,5062.100098,444963
22-07-2024,5012.850098,5031.950195,4922.75,4955,559762
23-07-2024,5065.25,5095.450195,4925.100098,5013,431809
24-07-2024,5158.450195,5205,5082.649902,5100,630155
25-07-2024,5171.350098,5184.899902,5058.100098,5148,393012
26-07-2024,5071.600098,5199,5040,5199,234445
29-07-2024,5112.850098,5144,5041.799805,5144,206613
30-07-2024,5027.200195,5175.549805,5000.100098,5140,299951
31-07-2024,4935.950195,5068.899902,4910.200195,5040,912329
01-08-2024,4993.799805,5008,4883,4949,202176
02-08-2024,4909.700195,5029.75,4890.149902,4950,486355
05-08-2024,4817.450195,5010,4801,4861.5,715443
06-08-2024,4909.899902,5045.25,4818.149902,4818.149902,798720
07-08-2024,5018.5,5063.549805,4954.450195,4960,322153
08-08-2024,4980.100098,5063.899902,4942,5049.950195,348300
09-08-2024,4989.950195,5063.799805,4971.350098,5033,102057
12-08-2024,5013.799805,5025,4960.549805,4999,167412
13-08-2024,4929.5,5048,4905.5,5039.950195,138438
14-08-2024,4960.299805,5020,4913.299805,4950,282580
16-08-2024,5021.299805,5025,4902.700195,4995,193826
19-08-2024,5002.700195,5048,4982.049805,5040,171799
20-08-2024,5079.200195,5095.950195,4987.700195,5008,320092
21-08-2024,5099.450195,5164,5051.850098,5095,796491
22-08-2024,5057.850098,5145,5021.149902,5145,353198
23-08-2024,4901.5,5088.799805,4880,5045,802974
26-08-2024,4959.399902,4978.75,4900.100098,4903,475103
27-08-2024,4958.549805,5010,4925.649902,5010,144910
28-08-2024,4964.850098,4995.5,4905,4995.5,504521
29-08-2024,5008.799805,5155.549805,4980.649902,4991.5,939641
30-08-2024,4927.450195,5042,4900,5020,564035
02-09-2024,4999.850098,5023.950195,4951,4977,290596
